Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1491944400.0 135.4 349 0 95 NA NA NA NA 565 0 152 NA NA NA NA 720 204 152 NA NA NA NA 415 213 149 NA NA NA NA
1491944400.0 135.5 351 0 95 NA NA NA NA 550 0 146 NA NA NA NA 698 184 151 NA NA NA NA 409 189 149 NA NA NA NA
1491944400.0 135.6 356 0 97 NA NA NA NA 557 0 150 NA NA NA NA 767 220 161 NA NA NA NA 418 227 150 NA NA NA NA
1491944400.0 135.7 354 0 96 NA NA NA NA 558 0 151 NA NA NA NA 675 182 136 NA NA NA NA 393 195 133 NA NA NA NA
1491944400.0 135.8 149 NA NA NA NA NA NA 229 NA NA NA NA NA NA 268 NA NA NA NA NA NA 411 NA NA NA NA NA NA
1491944400.0 135.9 324 0 94 NA NA NA NA 565 0 149 NA NA NA NA 538 155 152 NA NA NA NA 358 161 171 NA NA NA NA
1491944400.0 1351.0 NA 207 505 0 NA NA NA NA 474 601 0 NA NA NA NA 425 688 810 NA NA NA NA 269 567 833 NA NA NA
1491944400.0 1353.0 NA 222 491 0 NA NA NA NA 466 609 0 NA NA NA NA 493 857 803 NA NA NA NA 358 821 813 NA NA NA
1491944400.0 1355.0 NA 215 512 0 NA NA NA NA 480 617 0 NA NA NA NA 502 758 785 NA NA NA NA 294 545 793 NA NA NA
1491944400.0 1356.0 85 211 516 0 115 NA NA 142 458 604 0 161 NA NA 3341 499 797 932 196 NA NA 1463 311 636 945 185 NA NA
1491944400.0 136.721 NA 203 446 0 NA NA NA NA 298 537 0 NA NA NA NA 2266 5394 507 NA NA NA NA 1002 1869 512 NA NA NA
1491944400.0 136.723 NA 204 446 0 NA NA NA NA 300 528 0 NA NA NA NA 2367 5603 504 NA NA NA NA 808 1831 512 NA NA NA
1491944400.0 136.724 NA 204 457 0 NA NA NA NA 305 542 0 NA NA NA NA 4067 8513 573 NA NA NA NA 1452 2718 587 NA NA NA
1491944400.0 136.726 NA 201 460 0 NA NA NA NA 307 541 0 NA NA NA NA 3353 7665 617 NA NA NA NA 1083 2476 648 NA NA NA
1491944400.0 136.727 NA 246 468 0 NA NA NA NA 360 569 0 NA NA NA NA 4311 9750 790 NA NA NA NA 1886 3369 988 NA NA NA
1491944400.0 136.728 NA 225 467 0 NA NA NA NA 347 565 0 NA NA NA NA 15698 9874 606 NA NA NA NA 20297 3713 614 NA NA NA
