Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1491944400.0 134.707 NA 32 406 0 NA NA NA NA NA 86 483 0 NA NA NA NA NA 118 5750 433 NA NA NA NA NA 76 2246 445 NA NA NA NA
1491944400.0 134.708 NA 37 403 0 NA NA NA NA NA 89 479 0 NA NA NA NA NA 109 4768 385 NA NA NA NA NA 69 1709 412 NA NA NA NA
1491944400.0 134.709 NA 35 576 0 NA NA NA NA NA 89 683 0 NA NA NA NA NA 118 6166 394 NA NA NA NA NA 81 2326 406 NA NA NA NA
1491944400.0 134.801 NA 29 404 0 NA NA NA NA NA 87 480 0 NA NA NA NA NA 114 3200 402 NA NA NA NA NA 98 1219 421 NA NA NA NA
1491944400.0 134.803 NA 35 406 0 NA NA NA NA NA 88 490 0 NA NA NA NA NA 127 6576 429 NA NA NA NA NA 90 2183 442 NA NA NA NA
1491944400.0 134.804 NA 29 417 0 NA NA NA NA NA 86 505 0 NA NA NA NA NA 141 6265 380 NA NA NA NA NA 98 2059 387 NA NA NA NA
1491944400.0 134.805 NA 35 411 0 NA NA NA NA NA 91 503 0 NA NA NA NA NA 130 6525 371 NA NA NA NA NA 81 2134 378 NA NA NA NA
1491944400.0 134.806 NA 33 425 0 NA NA NA NA NA 89 501 0 NA NA NA NA NA 138 5336 321 NA NA NA NA NA 91 1670 335 NA NA NA NA
1491944400.0 134.807 NA 85 449 0 NA NA NA NA NA 163 541 0 NA NA NA NA NA 491 5074 324 NA NA NA NA NA 324 1868 330 NA NA NA NA
1491944400.0 134.808 NA 89 445 0 NA NA NA NA NA 161 541 0 NA NA NA NA NA 452 5324 334 NA NA NA NA NA 342 1992 351 NA NA NA NA
1491944400.0 134.809 NA 34 408 0 NA NA NA NA NA 87 499 0 NA NA NA NA NA 132 6333 372 NA NA NA NA NA 82 2110 381 NA NA NA NA
1491944400.0 134.81 NA 32 408 0 NA NA NA NA NA 84 488 0 NA NA NA NA NA 156 5857 452 NA NA NA NA NA 90 1857 468 NA NA NA NA
1491944400.0 134.812 NA 29 397 0 NA NA NA NA NA 85 475 0 NA NA NA NA NA 102 3703 370 NA NA NA NA NA 69 1382 380 NA NA NA NA
1491944400.0 134.901 NA 30 400 0 NA NA NA NA NA 84 479 0 NA NA NA NA NA 96 3184 359 NA NA NA NA NA 66 1185 366 NA NA NA NA
1491944400.0 134.902 NA 31 404 0 NA NA NA NA NA 89 483 0 NA NA NA NA NA 121 4908 383 NA NA NA NA NA 89 2090 397 NA NA NA NA
1491944400.0 134.903 NA 31 401 0 NA NA NA NA NA 94 482 0 NA NA NA NA NA 139 4537 379 NA NA NA NA NA 88 1563 392 NA NA NA NA
1491944400.0 134.904 NA 38 406 0 NA NA NA NA NA 90 493 0 NA NA NA NA NA 115 5314 387 NA NA NA NA NA 88 1859 396 NA NA NA NA
1491944400.0 134.905 NA 33 400 0 NA NA NA NA NA 86 487 0 NA NA NA NA NA 120 3771 357 NA NA NA NA NA 74 1316 363 NA NA NA NA
1491944400.0 134.906 NA 38 402 0 NA NA NA NA NA 90 495 0 NA NA NA NA NA 138 5320 412 NA NA NA NA NA 116 2053 421 NA NA NA NA
1491944400.0 134.908 NA 86 435 0 NA NA NA NA NA 159 525 0 NA NA NA NA NA 351 5615 481 NA NA NA NA NA 238 1913 492 NA NA NA NA
1491944400.0 134.911 NA 30 401 0 NA NA NA NA NA 90 480 0 NA NA NA NA NA 152 4667 401 NA NA NA NA NA 102 1660 411 NA NA NA NA
1491944400.0 134.99603 NA 32 408 0 NA NA NA NA NA 89 490 0 NA NA NA NA NA 142 6583 440 NA NA NA NA NA 85 2383 453 NA NA NA NA
1491944400.0 1340.0 NA 193 505 0 NA NA NA NA NA 504 606 0 NA NA NA NA NA 389 568 726 NA NA NA NA NA 256 483 732 NA NA NA NA
1491944400.0 1341.0 NA 233 522 0 NA NA NA NA NA 473 609 0 NA NA NA NA NA 516 943 768 NA NA NA NA NA 299 649 788 NA NA NA NA
1491944400.0 1343.0 NA 220 503 0 NA NA NA NA NA 474 614 0 NA NA NA NA NA 476 764 735 NA NA NA NA NA 272 646 751 NA NA NA NA
1491944400.0 1344.0 NA 225 513 0 NA NA NA NA NA 468 605 0 NA NA NA NA NA 442 697 715 NA NA NA NA NA 257 538 720 NA NA NA NA
1491944400.0 1345.0 NA 218 496 0 NA NA NA NA NA 466 607 0 NA NA NA NA NA 442 787 746 NA NA NA NA NA 312 889 752 NA NA NA NA
1491944400.0 1347.0 NA 219 508 0 NA NA NA NA NA 467 597 0 NA NA NA NA NA 443 665 740 NA NA NA NA NA 282 637 760 NA NA NA NA
1491944400.0 1348.0 NA 207 513 0 NA NA NA NA NA 466 601 0 NA NA NA NA NA 400 611 726 NA NA NA NA NA 244 514 736 NA NA NA NA
1491944400.0 1349.0 NA 215 499 0 NA NA NA NA NA 480 603 0 NA NA NA NA NA 406 671 733 NA NA NA NA NA 274 792 742 NA NA NA NA
1491944400.0 1350.0 NA 217 509 0 NA NA NA NA NA 469 603 0 NA NA NA NA NA 426 649 715 NA NA NA NA NA 271 557 726 NA NA NA NA
1491944400.0 1351.0 NA 212 497 0 NA NA NA NA NA 473 612 0 NA NA NA NA NA 413 681 707 NA NA NA NA NA 280 888 715 NA NA NA NA
1491944400.0 1352.0 NA 208 511 0 NA NA NA NA NA 472 601 0 NA NA NA NA NA 401 594 736 NA NA NA NA NA 246 472 745 NA NA NA NA
1491944400.0 1353.0 NA 216 508 0 NA NA NA NA NA 475 603 0 NA NA NA NA NA 461 683 707 NA NA NA NA NA 283 517 725 NA NA NA NA
1491944400.0 1354.0 NA 219 498 0 NA NA NA NA NA 480 611 0 NA NA NA NA NA 421 688 717 NA NA NA NA NA 285 747 732 NA NA NA NA
1491944400.0 1355.0 NA 220 511 0 NA NA NA NA NA 474 603 0 NA NA NA NA NA 453 679 736 NA NA NA NA NA 271 489 758 NA NA NA NA
1491944400.0 1356.0 93 220 520 0 112 NA NA NA 141 460 613 0 163 NA NA NA 4572 691 1307 1474 292 NA NA NA 1700 414 1167 1584 268 NA NA NA
1491944400.0 136.721 NA 198 442 0 NA NA NA NA NA 293 530 0 NA NA NA NA NA 3004 6889 565 NA NA NA NA NA 1189 2362 575 NA NA NA NA
1491944400.0 136.722 NA 202 455 0 NA NA NA NA NA 303 554 0 NA NA NA NA NA 4312 8090 542 NA NA NA NA NA 2630 2789 549 NA NA NA NA
1491944400.0 136.723 NA 199 442 0 NA NA NA NA NA 294 540 0 NA NA NA NA NA 3033 7331 559 NA NA NA NA NA 1191 2474 576 NA NA NA NA
1491944400.0 136.724 NA 212 455 0 NA NA NA NA NA 305 545 0 NA NA NA NA NA 5995 13366 745 NA NA NA NA NA 1827 4577 753 NA NA NA NA
1491944400.0 136.725 NA 198 451 0 NA NA NA NA NA 323 566 0 NA NA NA NA NA 4553 11497 778 NA NA NA NA NA 1700 4058 797 NA NA NA NA
1491944400.0 136.726 NA 208 450 0 NA NA NA NA NA 304 545 0 NA NA NA NA NA 4429 8342 545 NA NA NA NA NA 2679 2851 551 NA NA NA NA
1491944400.0 136.727 NA 242 474 0 NA NA NA NA NA 358 570 0 NA NA NA NA NA 9901 9109 698 NA NA NA NA NA 8598 3013 719 NA NA NA NA
1491944400.0 136.728 NA 239 473 0 NA NA NA NA NA 354 564 0 NA NA NA NA NA 4380 9142 679 NA NA NA NA NA 1767 2887 687 NA NA NA NA
1491944400.0 136.729 NA 201 440 0 NA NA NA NA NA 301 534 0 NA NA NA NA NA 4651 12625 858 NA NA NA NA NA 1540 4230 874 NA NA NA NA
1491944400.0 136.73 NA 198 463 0 NA NA NA NA NA 306 566 0 NA NA NA NA NA 4129 9490 560 NA NA NA NA NA 1372 3283 571 NA NA NA NA
1491944400.0 136.731 NA 209 453 0 NA NA NA NA NA 300 538 0 NA NA NA NA NA 4124 9435 556 NA NA NA NA NA 1603 3284 566 NA NA NA NA
1491944400.0 136.732 NA 200 449 0 NA NA NA NA NA 290 522 0 NA NA NA NA NA 1613 4482 467 NA NA NA NA NA 791 1504 477 NA NA NA NA
1491944400.0 136.7321 NA 198 472 0 NA NA NA NA NA 299 570 0 NA NA NA NA NA 2207 6175 549 NA NA NA NA NA 992 2199 561 NA NA NA NA
