Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1491944400.0 136.722 NA 160 254 0 NA NA NA NA NA 358 479 0 NA NA NA NA NA 4412 9413 765 NA NA NA NA NA 4981 10472 804 NA NA NA NA
1491944400.0 136.723 NA 158 237 0 NA NA NA NA NA 352 450 0 NA NA NA NA NA 3731 8426 752 NA NA NA NA NA 4265 9497 827 NA NA NA NA
1491944400.0 136.724 NA 161 247 0 NA NA NA NA NA 359 460 0 NA NA NA NA NA 5699 10802 836 NA NA NA NA NA 6367 11893 901 NA NA NA NA
1491944400.0 136.725 NA 163 253 0 NA NA NA NA NA 357 476 0 NA NA NA NA NA 4129 9303 769 NA NA NA NA NA 4700 10381 829 NA NA NA NA
1491944400.0 136.726 NA 160 242 0 NA NA NA NA NA 354 456 0 NA NA NA NA NA 4649 9748 785 NA NA NA NA NA 5267 10788 846 NA NA NA NA
1491944400.0 136.727 NA 194 254 0 NA NA NA NA NA 404 469 0 NA NA NA NA NA 4160 8570 794 NA NA NA NA NA 4687 9687 855 NA NA NA NA
1491944400.0 136.728 NA 180 261 0 NA NA NA NA NA 399 465 0 NA NA NA NA NA 4604 9327 469 NA NA NA NA NA 5275 9874 475 NA NA NA NA
1491944400.0 136.729 NA 158 243 0 NA NA NA NA NA 350 457 0 NA NA NA NA NA 3904 9523 770 NA NA NA NA NA 4490 10560 813 NA NA NA NA
1491944400.0 136.73 NA 163 258 0 NA NA NA NA NA 356 486 0 NA NA NA NA NA 4297 9306 781 NA NA NA NA NA 4867 10300 837 NA NA NA NA
1491944400.0 136.731 NA 159 246 0 NA NA NA NA NA 355 459 0 NA NA NA NA NA 4474 9656 808 NA NA NA NA NA 5075 10678 860 NA NA NA NA
1491944400.0 136.732 NA 157 246 0 NA NA NA NA NA 354 451 0 NA NA NA NA NA 1585 4406 480 NA NA NA NA NA 1931 6460 491 NA NA NA NA
1491944400.0 136.7321 NA 160 263 0 NA NA NA NA NA 358 477 0 NA NA NA NA NA 2675 7306 799 NA NA NA NA NA 3173 8494 874 NA NA NA NA
1491944400.0 136.734 NA 159 242 0 NA NA NA NA NA 356 457 0 NA NA NA NA NA 4386 9463 820 NA NA NA NA NA 4966 10698 888 NA NA NA NA
1491944400.0 136.736 NA 161 254 0 NA NA NA NA NA 367 467 0 NA NA NA NA NA 4424 10381 548 NA NA NA NA NA 4498 11112 581 NA NA NA NA
1491944400.0 136.738 NA 167 225 0 NA NA NA NA NA 366 462 0 NA NA NA NA NA 4939 11676 552 NA NA NA NA NA 5320 12889 564 NA NA NA NA
1491944400.0 136.743 NA 164 237 0 NA NA NA NA NA 358 461 0 NA NA NA NA NA 4450 10250 558 NA NA NA NA NA 4557 11076 576 NA NA NA NA
1491944400.0 136.745 NA 158 244 0 NA NA NA NA NA 358 457 0 NA NA NA NA NA 4825 11889 826 NA NA NA NA NA 5419 13047 892 NA NA NA NA
1491944400.0 136.746 NA 154 238 0 NA NA NA NA NA 363 464 0 NA NA NA NA NA 4945 10963 555 NA NA NA NA NA 5049 11793 568 NA NA NA NA
1491944400.0 136.748 NA 164 229 0 NA NA NA NA NA 362 480 0 NA NA NA NA NA 4757 11151 555 NA NA NA NA NA 5224 12314 576 NA NA NA NA
1491944400.0 136.75 NA 165 236 0 NA NA NA NA NA 362 476 0 NA NA NA NA NA 10392 21287 801 NA NA NA NA NA 10998 24314 857 NA NA NA NA
1491944400.0 136.751 NA 164 242 0 NA NA NA NA NA 365 494 0 NA NA NA NA NA 8696 21815 784 NA NA NA NA NA 9240 25185 839 NA NA NA NA
1491944400.0 136.752 NA 169 231 0 NA NA NA NA NA 365 462 0 NA NA NA NA NA 5175 12131 530 NA NA NA NA NA 5551 13294 1179 NA NA NA NA
1491944400.0 136.753 NA 163 235 0 NA NA NA NA NA 357 464 0 NA NA NA NA NA 4327 11663 553 NA NA NA NA NA 4696 13157 563 NA NA NA NA
1491944400.0 136.76 NA 167 235 0 NA NA NA NA NA 372 490 0 NA NA NA NA NA 10643 25672 733 NA NA NA NA NA 11187 28393 784 NA NA NA NA
1491944400.0 136.761 NA 165 233 0 NA NA NA NA NA 365 492 0 NA NA NA NA NA 11869 28911 745 NA NA NA NA NA 12367 31535 820 NA NA NA NA
1491944400.0 136.762 NA 179 241 0 NA NA NA NA NA 385 500 0 NA NA NA NA NA 12830 32652 755 NA NA NA NA NA 13375 34766 782 NA NA NA NA
1491944400.0 136.763 NA 164 240 0 NA NA NA NA NA 369 485 0 NA NA NA NA NA 10265 25622 751 NA NA NA NA NA 10729 28630 805 NA NA NA NA
1491944400.0 136.764 NA 170 234 0 NA NA NA NA NA 369 480 0 NA NA NA NA NA 11464 24687 744 NA NA NA NA NA 12075 27491 797 NA NA NA NA
1491944400.0 136.768 NA 168 241 0 NA NA NA NA NA 367 480 0 NA NA NA NA NA 8963 23133 728 NA NA NA NA NA 9513 26069 782 NA NA NA NA
1491944400.0 136.769 NA 164 231 0 NA NA NA NA NA 363 464 0 NA NA NA NA NA 4178 9999 541 NA NA NA NA NA 4528 11399 1473 NA NA NA NA
1491944400.0 136.774 NA 164 234 0 NA NA NA NA NA 363 466 0 NA NA NA NA NA 5177 11340 542 NA NA NA NA NA 5563 12642 554 NA NA NA NA
1491944400.0 136.775 NA 156 243 0 NA NA NA NA NA 360 460 0 NA NA NA NA NA 4267 9888 529 NA NA NA NA NA 4343 10637 549 NA NA NA NA
1491944400.0 136.778 NA 156 244 0 NA NA NA NA NA 350 454 0 NA NA NA NA NA 2913 9449 820 NA NA NA NA NA 3444 10688 875 NA NA NA NA
1491944400.0 136.779 NA 161 247 0 NA NA NA NA NA 363 463 0 NA NA NA NA NA 4336 10064 540 NA NA NA NA NA 4437 10980 575 NA NA NA NA
1491944400.0 1360.0 65 161 247 0 NA NA NA NA 242 353 477 0 NA NA NA NA 2481 266 476 738 NA NA NA NA 6742 304 961 763 NA NA NA NA
1491944400.0 1361.0 55 151 250 0 NA NA NA NA 241 353 475 0 NA NA NA NA 3126 392 468 764 NA NA NA NA 3692 550 540 800 NA NA NA NA
1491944400.0 1363.0 60 149 249 0 NA NA NA NA 241 353 475 0 NA NA NA NA 7887 663 754 1328 NA NA NA NA 8741 779 1820 1435 NA NA NA NA
1491944400.0 1364.0 NA 157 243 0 NA NA NA NA NA 361 473 0 NA NA NA NA NA 564 725 1290 NA NA NA NA NA 684 852 1392 NA NA NA NA
1491944400.0 139901.0 NA 165 245 0 NA NA NA NA NA 362 475 0 NA NA NA NA NA 623 780 1048 NA NA NA NA NA 730 890 1061 NA NA NA NA
1491944400.0 13992501.0 NA 204 329 0 NA NA NA NA NA 424 588 0 NA NA NA NA NA 1856 2108 819 NA NA NA NA NA 5584 3763 836 NA NA NA NA
1491944400.0 13992502.0 NA 198 328 0 NA NA NA NA NA 430 586 0 NA NA NA NA NA 3204 3775 1386 NA NA NA NA NA 3950 4182 1487 NA NA NA NA
1491944400.0 14.0 NA 81 189 0 NA NA NA NA NA 241 406 0 NA NA NA NA NA 2002 1577 348 NA NA NA NA NA 2195 1615 354 NA NA NA NA
1491944400.0 140.52 NA 192 181 0 NA NA NA NA NA 398 372 0 NA NA NA NA NA 2060 1692 234 NA NA NA NA NA 2273 1867 268 NA NA NA NA
1491944400.0 145.0 NA 191 266 0 NA NA NA NA NA 393 475 0 NA NA NA NA NA 2658 2497 223 NA NA NA NA NA 2845 2693 258 NA NA NA NA
1491944400.0 17.0 NA 79 190 0 NA NA NA NA NA 241 406 0 NA NA NA NA NA 1754 718 258 NA NA NA NA NA 1877 741 263 NA NA NA NA
1491944400.0 20.0 NA 84 190 0 NA NA NA NA NA 241 408 0 NA NA NA NA NA 1859 1151 401 NA NA NA NA NA 2001 1253 413 NA NA NA NA
1491944400.0 20021.0 50 89 178 0 NA NA NA NA 175 249 388 0 NA NA NA NA 859 748 755 192 NA NA NA NA 964 840 817 200 NA NA NA NA
1491944400.0 20053.0 55 91 188 0 NA NA NA NA 184 250 395 0 NA NA NA NA 4486 455 806 220 NA NA NA NA 4635 573 1015 235 NA NA NA NA
1491944400.0 204.0 51 98 218 0 NA NA NA NA 180 249 445 0 NA NA NA NA 3419 465 878 304 NA NA NA NA 3545 522 940 315 NA NA NA NA
1491944400.0 20453.0 57 95 184 0 NA NA NA NA 185 246 395 0 NA NA NA NA 4607 472 837 214 NA NA NA NA 4709 541 973 595 NA NA NA NA
